X[m]	Y[m]	Z[m]	WSS[Pa]
-11.146000	-56.095000	-1.138000	1.778310
-11.213000	-56.089000	-1.179000	1.795330
-11.147000	-56.120000	-1.198000	1.701030
-11.069000	-56.126000	-1.164000	1.711390
-11.112000	-56.150000	-1.254000	1.668790
-11.026000	-56.166000	-1.242000	1.652470
-10.945000	-56.179000	-1.235000	1.593180
-10.979000	-56.200000	-1.314000	1.581870
-10.886000	-56.204000	-1.280000	1.510240
-10.970000	-56.148000	-1.164000	1.647310
-11.072000	-56.185000	-1.329000	1.623780
-11.199000	-56.125000	-1.258000	1.680180
-10.868000	-56.171000	-1.180000	1.537070
-11.099000	-56.083000	-1.078000	1.829920
-11.203000	-56.053000	-1.088000	1.942880
-10.917000	-56.230000	-1.371000	1.490760
-11.005000	-56.110000	-1.083000	1.709750
-10.908000	-56.131000	-1.091000	1.605780
-11.167000	-56.161000	-1.333000	1.622110
-10.822000	-56.234000	-1.340000	1.407090
-10.794000	-56.203000	-1.249000	1.456750
-11.136000	-56.039000	-1.003000	1.954960
-11.233000	-56.003000	-1.003000	2.132310
-11.301000	-56.009000	-1.080000	2.268630
-11.285000	-56.051000	-1.160000	2.039910
-11.279000	-56.088000	-1.246000	1.845290
-11.019000	-56.222000	-1.414000	1.572510
-10.935000	-56.249000	-1.453000	1.489400
-10.814000	-56.143000	-1.095000	1.527570
-11.127000	-56.197000	-1.415000	1.589750
-11.037000	-56.067000	-1.003000	1.809540
-10.942000	-56.092000	-1.009000	1.664910
-11.344000	-56.041000	-1.230000	2.338490
-11.367000	-56.002000	-1.160000	2.652790
-10.850000	-56.258000	-1.433000	1.397890
-11.262000	-56.128000	-1.329000	1.668820
-10.760000	-56.172000	-1.164000	1.504660
-11.328000	-55.961000	-1.001000	2.431850
-11.265000	-55.955000	-0.924000	2.234860
-11.167000	-55.992000	-0.923000	2.042510
-10.847000	-56.108000	-1.016000	1.572680
-10.994000	-56.252000	-1.516000	1.528470
-11.304000	-55.841000	-0.724000	1.987670
-11.238000	-55.889000	-0.767000	2.021180
-11.240000	-55.843000	-0.683000	1.866030
-11.157000	-55.879000	-0.701000	1.848270
-10.727000	-56.230000	-1.315000	1.364930
-11.176000	-55.833000	-0.638000	1.747460
-11.243000	-55.791000	-0.614000	1.782370
-10.756000	-56.119000	-1.024000	1.511310
-11.300000	-55.907000	-0.848000	2.204510
-11.201000	-55.943000	-0.846000	2.076140
-10.730000	-56.147000	-1.093000	1.508490
-11.390000	-55.959000	-1.079000	2.772810
-11.360000	-56.075000	-1.319000	2.093750
-11.450000	-55.955000	-1.159000	3.072700
-11.428000	-56.000000	-1.253000	2.929920
-11.069000	-56.023000	-0.926000	1.906320
-10.972000	-56.050000	-0.929000	1.728040
-10.877000	-56.071000	-0.936000	1.604850
-11.227000	-56.169000	-1.412000	1.592330
-11.362000	-55.917000	-0.925000	2.354110
-11.092000	-56.227000	-1.504000	1.584260
-11.133000	-55.928000	-0.772000	1.930510
-10.756000	-56.263000	-1.403000	1.278300
-10.783000	-56.084000	-0.946000	1.552890
-11.320000	-55.799000	-0.663000	1.892310
-10.666000	-56.129000	-1.044000	1.486900
-10.689000	-56.094000	-0.963000	1.502780
-10.695000	-56.199000	-1.227000	1.444010
-11.095000	-55.853000	-0.634000	1.695880
-11.149000	-55.790000	-0.569000	1.609050
-11.344000	-55.858000	-0.784000	2.131730
-10.888000	-56.277000	-1.533000	1.415110
-11.247000	-55.736000	-0.549000	1.703830
-11.168000	-55.718000	-0.502000	1.584740
-11.073000	-55.755000	-0.511000	1.488700
-11.098000	-55.690000	-0.462000	1.510570
-11.173000	-55.642000	-0.445000	1.625880
-11.068000	-55.621000	-0.413000	1.552440
-11.173000	-55.562000	-0.395000	1.668790
-11.078000	-55.519000	-0.361000	1.673590
-11.101000	-55.976000	-0.848000	1.953440
-10.656000	-56.165000	-1.135000	1.469500
-11.003000	-56.005000	-0.852000	1.798490
-10.906000	-56.031000	-0.856000	1.609750
-10.810000	-56.044000	-0.868000	1.569480
-11.320000	-56.128000	-1.410000	1.764600
-11.258000	-55.667000	-0.488000	1.699010
-10.630000	-56.227000	-1.293000	1.272250
-10.660000	-56.261000	-1.378000	1.163200
-11.059000	-56.252000	-1.592000	1.544330
-10.968000	-56.277000	-1.607000	1.486670
-11.189000	-56.200000	-1.500000	1.583990
-11.266000	-55.591000	-0.435000	1.729320
-10.784000	-56.287000	-1.496000	1.255700
-10.715000	-56.055000	-0.883000	1.526250
-11.063000	-55.907000	-0.703000	1.790350
-10.998000	-55.511000	-0.352000	1.640840
-10.986000	-55.574000	-0.379000	1.579610
-11.037000	-55.819000	-0.571000	1.557980
-11.423000	-55.918000	-1.001000	2.643990
-11.483000	-55.915000	-1.078000	2.918890
-11.507000	-55.946000	-1.224000	3.304730
-11.541000	-55.909000	-1.155000	3.174110
-11.400000	-55.869000	-0.854000	2.274420
-11.332000	-55.748000	-0.597000	1.789420
-10.925000	-55.519000	-0.351000	1.615680
-10.995000	-55.438000	-0.319000	1.711690
-11.109000	-55.433000	-0.330000	1.873030
-11.188000	-55.470000	-0.359000	1.880540
-11.385000	-55.808000	-0.720000	2.029810
-11.011000	-55.705000	-0.461000	1.472010
-10.886000	-56.302000	-1.636000	1.370940
-11.453000	-56.027000	-1.352000	2.753220
-10.597000	-56.102000	-0.985000	1.474870
-11.033000	-55.956000	-0.776000	1.820230
-11.461000	-55.877000	-0.926000	2.413880
-10.936000	-55.982000	-0.781000	1.660820
-10.838000	-55.999000	-0.791000	1.587220
-10.742000	-56.013000	-0.804000	1.536680
-10.802000	-56.308000	-1.589000	1.239540
-11.028000	-56.274000	-1.667000	1.491950
-10.961000	-56.299000	-1.711000	1.421470
-10.880000	-56.320000	-1.718000	1.338740
-10.810000	-56.330000	-1.681000	1.207980
